Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.23043478260869565,39.00869565217391,0.113986015,0.23043478260869565
20000,1.4217807,0.28535353535353536,50.63131313131313,0.16493966,0.28535353535353536
30000,1.4209039,0.24561403508771928,43.94736842105263,0.17794089,0.25
40000,1.4211545,0.25558035714285715,40.50892857142857,0.17121194,0.2522421524663677
50000,1.4202552,0.2607758620689655,40.37068965517241,0.17509943,0.25862068965517243
60000,1.4195075,0.24864130434782608,56.58695652173913,0.15083702,0.24594594594594596
70000,1.4199777,0.25589622641509435,44.089622641509436,0.15680698,0.25938967136150237
80000,1.4206243,0.25757575757575757,49.14141414141414,0.17056423,0.25757575757575757
90000,1.4218851,0.2543478260869565,42.13478260869565,0.17129838,0.2543478260869565
100000,1.4211495,0.27970297029702973,51.5,0.18570133,0.27611940298507465
110000,1.4190196,0.26052631578947366,47.04210526315789,0.18057881,0.2643979057591623
120000,1.4167085,0.24615384615384617,39.396153846153844,0.17387666,0.24806949806949807
130000,1.4158772,0.2404513888888889,33.46875,0.17378788,0.23875432525951557
140000,1.4160542,0.2672018348623853,43.169724770642205,0.16301274,0.2638248847926267
150000,1.4149759,0.2675233644859813,43.57943925233645,0.14250256,0.2675233644859813
160000,1.4134282,0.2745726495726496,43.17948717948718,0.1484862,0.2745726495726496
170000,1.411756,0.2672413793103448,42.18103448275862,0.18388702,0.2672413793103448
180000,1.4098482,0.2704326923076923,45.09134615384615,0.18730068,0.27392344497607657
190000,1.4088416,0.298828125,39.703125,0.17175755,0.3001968503937008
200000,1.4083314,0.26953125,49.135416666666664,0.16717193,0.26804123711340205
210000,1.4078146,0.2916666666666667,62.64102564102564,0.16355024,0.288961038961039
220000,1.407037,0.3286082474226804,48.42783505154639,0.16639817,0.33589743589743587
230000,1.4065518,0.29336734693877553,50.06122448979592,0.16398275,0.28974358974358977
240000,1.4066057,0.2921686746987952,58.37951807228916,0.16384275,0.29017857142857145
250000,1.4062725,0.3132530120481928,54.644578313253014,0.18504499,0.3125
260000,1.4051843,0.2801724137931034,57.08620689655172,0.1886228,0.27714285714285714
270000,1.4041985,0.3489583333333333,69.40277777777777,0.1937538,0.34929078014184395
280000,1.4030653,0.311046511627907,57.56395348837209,0.203824,0.3117816091954023
290000,1.4016818,0.33482142857142855,59.23809523809524,0.2041277,0.32840236686390534
