Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.2692307692307692,37.98290598290598,-0.046060007,0.2692307692307692
20000,1.4182361,0.27521008403361347,40.7563025210084,0.01739387,0.2754237288135593
30000,1.4151664,0.2846638655462185,42.98739495798319,0.113436125,0.2813807531380753
40000,1.4128455,0.269811320754717,34.64150943396226,0.16139095,0.2725563909774436
50000,1.4137884,0.2787456445993031,36.00696864111498,0.18442303,0.2789473684210526
60000,1.4127483,0.26842105263157895,32.76491228070176,0.20086014,0.2682926829268293
70000,1.4126778,0.27647058823529413,37.38039215686275,0.20187087,0.2766798418972332
80000,1.4128771,0.28125,41.13333333333333,0.2142308,0.2842323651452282
90000,1.4137285,0.2706422018348624,29.568807339449542,0.20753756,0.26605504587155965
100000,1.4143572,0.26844262295081966,36.60655737704918,0.1982306,0.26844262295081966
110000,1.4160639,0.2708333333333333,45.375,0.19915938,0.2744186046511628
120000,1.4166057,0.25539568345323743,36.172661870503596,0.19575983,0.25539568345323743
130000,1.4163905,0.26986754966887416,33.27814569536424,0.18221213,0.26986754966887416
140000,1.4158032,0.26282051282051283,37.08119658119658,0.19528645,0.2627118644067797
150000,1.415104,0.26867219917012447,41.70124481327801,0.19882937,0.26867219917012447
160000,1.4153296,0.28554502369668244,44.308056872037916,0.18636917,0.28554502369668244
170000,1.4164141,0.2648221343873518,41.130434782608695,0.17522041,0.2619047619047619
180000,1.4164634,0.259297520661157,39.70661157024794,0.17488174,0.265495867768595
190000,1.4152683,0.26666666666666666,43.44,0.17275575,0.26327433628318586
200000,1.414449,0.28191489361702127,49.058510638297875,0.16348934,0.28191489361702127
210000,1.4142439,0.2628755364806867,41.33905579399141,0.17273118,0.2628755364806867
220000,1.4140812,0.2618577075098814,39.58498023715415,0.1963027,0.2619047619047619
230000,1.4138526,0.2743682310469314,33.72924187725632,0.21399058,0.27428057553956836
240000,1.4136729,0.2683673469387755,41.289795918367346,0.20423636,0.26851851851851855
250000,1.4132178,0.2733463035019455,36.85992217898833,0.19787037,0.2733463035019455
260000,1.4122043,0.2711267605633803,43.17370892018779,0.21932617,0.2675233644859813
270000,1.4110796,0.26618705035971224,37.35251798561151,0.2201715,0.26895306859205775
280000,1.4106903,0.265625,39.479166666666664,0.2088724,0.262448132780083
290000,1.4112513,0.28040540540540543,33.020270270270274,0.21693167,0.2832764505119454
300000,1.411139,0.2647783251231527,45.6256157635468,0.2261966,0.2646341463414634
310000,1.4106041,0.26868327402135234,36.437722419928825,0.23025785,0.26855123674911663
320000,1.4095945,0.2731660231660232,32.4980694980695,0.24168785,0.2731660231660232
330000,1.4081224,0.26624548736462095,38.11913357400722,0.24072698,0.26358695652173914
340000,1.4078282,0.25622406639004147,41.0,0.20891012,0.259297520661157
350000,1.4076055,0.2708333333333333,42.73148148148148,0.19109413,0.26744186046511625
360000,1.4075896,0.2768817204301075,35.415770609319,0.20501243,0.2794642857142857
370000,1.4068961,0.27926829268292686,46.863414634146345,0.23789324,0.27926829268292686
380000,1.4061112,0.25877192982456143,53.53216374269006,0.24435525,0.25877192982456143
390000,1.4055715,0.2642857142857143,51.40952380952381,0.22777143,0.2679425837320574
400000,1.4061996,0.271,33.036,0.23371136,0.2679282868525896
410000,1.4064778,0.2662337662337662,45.48051948051948,0.22641096,0.2662337662337662
420000,1.4052471,0.2708333333333333,50.733333333333334,0.21344922,0.2709497206703911
430000,1.4059199,0.2693298969072165,47.71134020618557,0.1830607,0.2654639175257732
440000,1.4060326,0.27586206896551724,47.900862068965516,0.20109864,0.27896995708154504
450000,1.405591,0.27253218884120173,38.4549356223176,0.20685068,0.2727272727272727
460000,1.4061188,0.2677725118483412,50.46919431279621,0.20289792,0.2677725118483412
470000,1.4068093,0.28125,41.101851851851855,0.18526809,0.2809633027522936
480000,1.406218,0.2717391304347826,48.04830917874396,0.1811166,0.2717391304347826
490000,1.4047028,0.266304347826087,68.43478260869566,0.1879377,0.26094890510948904
500000,1.4035499,0.2850877192982456,59.04093567251462,0.19130863,0.28924418604651164
510000,1.4033291,0.27071823204419887,49.386740331491715,0.19082206,0.27071823204419887
520000,1.4037809,0.26956521739130435,48.33913043478261,0.19684166,0.26973684210526316
530000,1.4049146,0.2603448275862069,57.42758620689655,0.1976522,0.2602040816326531
540000,1.4052984,0.28821656050955413,61.745222929936304,0.19953147,0.28821656050955413
550000,1.4048252,0.27586206896551724,57.01724137931034,0.19262587,0.27586206896551724
560000,1.404644,0.27486187845303867,55.97790055248619,0.18590514,0.27486187845303867
570000,1.4038793,0.26802884615384615,48.90865384615385,0.18696031,0.2682038834951456
580000,1.402529,0.2619047619047619,51.00529100529101,0.18990554,0.2619047619047619
590000,1.4015146,0.271875,40.57083333333333,0.20531195,0.271875
600000,1.4002259,0.26108374384236455,45.09852216748769,0.20378743,0.26097560975609757
610000,1.3993392,0.2635542168674699,56.10843373493976,0.18812746,0.2635542168674699
620000,1.3996232,0.281413612565445,50.27748691099477,0.19254749,0.281413612565445
630000,1.3996288,0.2862903225806452,56.39247311827957,0.19029047,0.2862903225806452
640000,1.3992469,0.29017857142857145,58.208333333333336,0.17592655,0.29017857142857145
650000,1.3984133,0.275609756097561,47.88292682926829,0.16599348,0.27941176470588236
