Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
670000,1.3742375,0.5240384615384616,104.32692307692308,0.19688402,0.5240384615384616
680000,1.3744353,0.35488505747126436,58.804597701149426,0.19905521,0.3511560693641618
690000,1.3731025,0.38461538461538464,53.67307692307692,0.1783917,0.3958333333333333
700000,1.3721081,0.39925373134328357,80.23880597014926,0.19240505,0.38619402985074625
710000,1.3720016,0.412109375,71.6484375,0.18983988,0.4074803149606299
720000,1.371204,0.4533582089552239,79.84328358208955,0.20023446,0.46139705882352944
730000,1.3698817,0.4300847457627119,78.58474576271186,0.20082283,0.4300847457627119
740000,1.3686125,0.4314516129032258,80.55645161290323,0.21442437,0.4314516129032258
750000,1.3676968,0.40492957746478875,62.190140845070424,0.22933541,0.40492957746478875
760000,1.3660948,0.46336206896551724,80.51724137931035,0.23751065,0.46336206896551724
770000,1.3658249,0.5163043478260869,107.20652173913044,0.24266274,0.5138888888888888
780000,1.3651065,0.525,99.65,0.24832627,0.5269607843137255
790000,1.3649609,0.5555555555555556,110.87777777777778,0.25422347,0.5555555555555556
800000,1.3648915,0.44507575757575757,69.25757575757575,0.25106695,0.44507575757575757
810000,1.3652016,0.5060483870967742,81.95161290322581,0.24696106,0.5060483870967742
820000,1.366151,0.4625,89.775,0.2476026,0.4625
830000,1.36602,0.4640151515151515,72.75,0.2501898,0.4640151515151515
840000,1.36537,0.48863636363636365,103.14772727272727,0.25012404,0.48546511627906974
850000,1.365011,0.4528985507246377,71.3840579710145,0.2518528,0.45535714285714285
860000,1.364822,0.4666666666666667,102.18888888888888,0.2685206,0.4666666666666667
870000,1.3634795,0.6041666666666666,112.05208333333333,0.26558292,0.6041666666666666
880000,1.3620768,0.4622093023255814,111.81395348837209,0.25778347,0.4622093023255814
890000,1.3613576,0.45036764705882354,75.19117647058823,0.26164252,0.45149253731343286
900000,1.360952,0.44772727272727275,88.19090909090909,0.27446643,0.44642857142857145
910000,1.360817,0.45227272727272727,81.06363636363636,0.26992157,0.45227272727272727
920000,1.3607044,0.4888392857142857,88.41071428571429,0.2619884,0.4888392857142857
930000,1.3602902,0.4375,89.56,0.2534361,0.4375
940000,1.3594247,0.44607843137254904,106.5,0.22168206,0.44607843137254904
950000,1.3586577,0.4693396226415094,91.48113207547169,0.20892087,0.4738095238095238
960000,1.3575124,0.5797413793103449,86.48275862068965,0.20635664,0.5739130434782609
970000,1.3564212,0.4824561403508772,85.03508771929825,0.2039354,0.4849137931034483
980000,1.356216,0.5357142857142857,78.59821428571429,0.21892904,0.5357142857142857
990000,1.3566056,0.6342592592592593,102.06481481481481,0.24065074,0.6342592592592593
1000000,1.3561753,0.4814189189189189,67.37837837837837,0.26192948,0.48639455782312924
1010000,1.3567772,0.4473684210526316,88.63157894736842,0.25816444,0.44130434782608696
1020000,1.3569793,0.46975806451612906,74.74193548387096,0.25293383,0.46975806451612906
1030000,1.3571352,0.45634920634920634,69.4047619047619,0.25016832,0.45634920634920634
1040000,1.3570334,0.625,100.28125,0.26976043,0.625
1050000,1.3558886,0.5,102.26851851851852,0.2824382,0.5
1060000,1.355551,0.4791666666666667,76.675,0.26510486,0.47058823529411764
1070000,1.3560073,0.5038461538461538,83.1,0.26934522,0.5114503816793893
1080000,1.3560798,0.5357142857142857,71.03968253968254,0.27434468,0.5357142857142857
1090000,1.3564115,0.45454545454545453,83.05454545454545,0.26475617,0.45454545454545453
1100000,1.3566021,0.5285714285714286,146.47142857142856,0.2672766,0.5285714285714286
1110000,1.3565361,0.4232456140350877,71.7280701754386,0.26133606,0.4232456140350877
1120000,1.3565226,0.4675324675324675,80.98051948051948,0.25000015,0.47549019607843135
1130000,1.3558282,0.45598591549295775,63.232394366197184,0.26427257,0.44755244755244755
1140000,1.3550318,0.5601851851851852,101.30555555555556,0.26125416,0.5537383177570093
1150000,1.3543994,0.5120192307692307,78.4423076923077,0.27437195,0.5190476190476191
1160000,1.3537405,0.4343220338983051,81.66101694915254,0.25541773,0.4252136752136752
1170000,1.3535763,0.51953125,77.1875,0.24847116,0.5271317829457365
1180000,1.353584,0.5527777777777778,109.54444444444445,0.2430424,0.5539772727272727
1190000,1.3538045,0.6335227272727273,115.2159090909091,0.24116024,0.6305555555555555
1200000,1.3537554,0.5084745762711864,86.89830508474576,0.22853078,0.5084745762711864
1210000,1.3536335,0.4674657534246575,64.55479452054794,0.23817484,0.4674657534246575
1220000,1.3534483,0.596875,103.275,0.2547867,0.5822784810126582
1230000,1.3528664,0.5400943396226415,84.0754716981132,0.25220728,0.5514018691588785
1240000,1.3527464,0.4609375,99.9765625,0.25448304,0.4609375
1250000,1.3530891,0.55,75.61666666666666,0.26829365,0.5508474576271186
1260000,1.3531075,0.5327380952380952,115.85714285714286,0.2772294,0.5416666666666666
1270000,1.3529944,0.6063829787234043,101.56382978723404,0.27897742,0.5963541666666666
1280000,1.352954,0.5555555555555556,96.55555555555556,0.2740151,0.5630841121495327
1290000,1.3533622,0.4462025316455696,53.36708860759494,0.27880865,0.4418238993710692
1300000,1.3537017,0.4946808510638298,100.32978723404256,0.2647715,0.4946808510638298
1310000,1.3538035,0.5117924528301887,77.01886792452831,0.25914282,0.5117924528301887
1320000,1.35375,0.625,116.98245614035088,0.25603154,0.6150442477876106
1330000,1.3535058,0.4672131147540984,75.04918032786885,0.25414884,0.47764227642276424
1340000,1.3528422,0.509090909090909,90.57272727272728,0.24759296,0.509090909090909
1350000,1.3526515,0.5057692307692307,74.02307692307693,0.25675625,0.5057692307692307
1360000,1.3525608,0.560546875,80.2421875,0.26863834,0.560546875
1370000,1.3520784,0.5472222222222223,96.21111111111111,0.29137138,0.5472222222222223
1380000,1.3511952,0.5200892857142857,98.85714285714286,0.27928975,0.5204545454545455
1390000,1.3506664,0.503968253968254,78.51587301587301,0.28858954,0.5137795275590551
1400000,1.3507632,0.49776785714285715,73.63392857142857,0.28672725,0.48672566371681414
1410000,1.3504554,0.5994318181818182,113.5909090909091,0.27913132,0.5994318181818182
1420000,1.3503735,0.6302083333333334,114.53125,0.2718654,0.6302083333333334
1430000,1.3504649,0.5518867924528302,81.5377358490566,0.28564122,0.5518867924528302
1440000,1.3502103,0.5212765957446809,111.93617021276596,0.2851973,0.5212765957446809
1450000,1.3495759,0.546875,69.64285714285714,0.2692375,0.5585585585585585
1460000,1.3490888,0.6222222222222222,129.7,0.25544894,0.6071428571428571
1470000,1.3486699,0.5368852459016393,83.93442622950819,0.25067586,0.5368852459016393
1480000,1.3478708,0.5423728813559322,71.33050847457628,0.2468314,0.5423728813559322
1490000,1.3478875,0.6290322580645161,91.11290322580645,0.25558108,0.6290322580645161
1500000,1.3476017,0.53,89.55,0.2520996,0.53
1510000,1.3473145,0.4758771929824561,89.79824561403508,0.24968268,0.4758771929824561
1520000,1.3472327,0.48412698412698413,78.08730158730158,0.24625006,0.4637096774193548
1530000,1.3470005,0.4590909090909091,74.2090909090909,0.25216728,0.48214285714285715
1540000,1.3468096,0.561046511627907,118.0,0.25411198,0.561046511627907
1550000,1.3466767,0.5597826086956522,115.01086956521739,0.25158292,0.5597826086956522
1560000,1.3466046,0.5257936507936508,81.0952380952381,0.24269944,0.5262096774193549
1570000,1.3465921,0.49,86.73,0.24834467,0.49019607843137253
1580000,1.3465288,0.4732142857142857,81.41666666666667,0.25182343,0.4817073170731707
1590000,1.3465136,0.5036231884057971,101.94202898550725,0.24956687,0.4982142857142857
1600000,1.3468105,0.45754716981132076,85.45283018867924,0.25345743,0.45754716981132076
1610000,1.3471651,0.4785714285714286,70.04285714285714,0.26175597,0.4785714285714286
1620000,1.3472022,0.515625,75.609375,0.2566182,0.515625
1630000,1.3471161,0.4846153846153846,73.67692307692307,0.25953004,0.4846153846153846
1640000,1.3471441,0.4653846153846154,76.00769230769231,0.2594277,0.4653846153846154
1650000,1.3472024,0.6122448979591837,79.76530612244898,0.26368266,0.6122448979591837
1660000,1.3473694,0.5535714285714286,112.96938775510205,0.26261714,0.5535714285714286
1670000,1.3474569,0.5797872340425532,95.37234042553192,0.26331857,0.5797872340425532
1680000,1.3474194,0.5138888888888888,88.24603174603175,0.26652476,0.5138888888888888
1690000,1.3470356,0.5906862745098039,94.03921568627452,0.268361,0.5906862745098039
1700000,1.3469417,0.65234375,165.28125,0.27789724,0.65234375
1710000,1.3469491,0.5407608695652174,77.73913043478261,0.2700303,0.5407608695652174
1720000,1.346931,0.6055555555555555,127.22222222222223,0.27308306,0.6055555555555555
1730000,1.3465497,0.4411764705882353,103.27450980392157,0.25749257,0.4282178217821782
1740000,1.3462461,0.4708333333333333,71.36666666666666,0.24375074,0.48140495867768596
