Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,-0.18410852713178294,36.49612403100775,-0.06630262,-0.18968871595330739
20000,1.4173485,-0.17342342342342343,41.35585585585586,-0.06300625,-0.16704035874439463
30000,1.4158627,-0.1446629213483146,54.51123595505618,-0.06290255,-0.14630681818181818
40000,1.4155294,-0.175,41.225,-0.07518319,-0.16736401673640167
50000,1.4147751,-0.10819327731092437,42.13865546218487,-0.120111346,-0.11514522821576763
60000,1.4139255,-0.19707207207207209,41.27477477477478,-0.12478565,-0.19707207207207209
70000,1.413658,-0.18045112781954886,35.08646616541353,-0.112345256,-0.18584905660377357
80000,1.4135473,-0.12376237623762376,50.73762376237624,-0.11129252,-0.11699507389162561
90000,1.4146006,-0.14256198347107438,39.82231404958678,-0.10490153,-0.14256198347107438
100000,1.4147192,-0.1377551020408163,49.857142857142854,-0.10905832,-0.1358974358974359
110000,1.4153427,-0.14240506329113925,59.14556962025316,-0.09289047,-0.14465408805031446
120000,1.4148991,-0.13392857142857142,46.763392857142854,-0.065493725,-0.1373873873873874
130000,1.4142416,-0.11565420560747663,43.901869158878505,-0.06413934,-0.11226851851851852
140000,1.4136735,-0.13592233009708737,42.91747572815534,-0.074373215,-0.13902439024390245
150000,1.4138918,-0.11525974025974026,66.72727272727273,-0.08576056,-0.11129032258064517
160000,1.4140404,-0.14344262295081966,39.971311475409834,-0.10562006,-0.14344262295081966
170000,1.413162,-0.10653409090909091,52.21590909090909,-0.10062745,-0.10653409090909091
180000,1.4121592,-0.16183035714285715,47.142857142857146,-0.089961775,-0.1681614349775785
190000,1.4116948,-0.1708984375,39.3359375,-0.09608042,-0.16536964980544747
200000,1.4123858,-0.1304945054945055,44.96153846153846,-0.08369479,-0.1304945054945055
210000,1.4130685,-0.1130952380952381,65.32738095238095,-0.050522756,-0.1130952380952381
220000,1.4117811,-0.1504237288135593,40.8728813559322,-0.032634515,-0.15384615384615385
230000,1.411015,-0.1647196261682243,45.77570093457944,-0.016500788,-0.16238317757009346
240000,1.4100971,-0.11909448818897637,38.46456692913386,-0.03598312,-0.11666666666666667
250000,1.4077041,-0.14752252252252251,37.42342342342342,-0.068564415,-0.1491031390134529
260000,1.4056351,-0.11657303370786516,59.30337078651685,-0.079152696,-0.11657303370786516
270000,1.4041432,-0.0881578947368421,51.94736842105263,-0.06880549,-0.0881578947368421
280000,1.4025675,-0.0985576923076923,48.38942307692308,-0.074771136,-0.0985576923076923
290000,1.4020442,-0.14527027027027026,40.968468468468465,-0.069853306,-0.14527027027027026
300000,1.4008757,-0.14977477477477477,45.08108108108108,-0.11005131,-0.14977477477477477
310000,1.4001881,-0.10807291666666667,48.46875,-0.10671099,-0.11125654450261781
320000,1.4011456,-0.09625,52.51,-0.07725227,-0.0875
330000,1.4007734,-0.07270408163265306,45.12755102040816,-0.046169788,-0.07868020304568528
340000,1.40075,-0.08639705882352941,64.9779411764706,-0.07230951,-0.08639705882352941
350000,1.4008027,-0.08486238532110092,49.49082568807339,-0.05587293,-0.08486238532110092
360000,1.4000593,-0.023214285714285715,73.22142857142858,-0.07164985,-0.023214285714285715
370000,1.3980771,-0.05379746835443038,54.88607594936709,-0.047236998,-0.04617834394904458
380000,1.3966731,-0.029850746268656716,68.23134328358209,-0.027746651,-0.03917910447761194
390000,1.3942614,0.035211267605633804,73.17605633802818,-0.0018581179,0.040780141843971635
400000,1.3928006,-0.05232558139534884,62.27906976744186,-0.001778179,-0.05603448275862069
410000,1.3925672,0.05122950819672131,66.3360655737705,-0.030347083,0.058333333333333334
420000,1.3922,0.047619047619047616,85.87301587301587,-0.027689496,0.041015625
430000,1.3911523,-0.020114942528735632,59.764367816091955,-0.03032978,-0.020114942528735632
440000,1.3902516,0.0625,60.6875,-0.017883258,0.0625
450000,1.3893793,0.06770833333333333,87.04166666666667,0.00053036486,0.06770833333333333
460000,1.3877778,0.1318181818181818,79.82727272727273,0.022940537,0.1318181818181818
470000,1.3865422,-0.012295081967213115,69.69672131147541,0.022619667,-0.012295081967213115
480000,1.3859781,-0.02976190476190476,68.63690476190476,0.007353417,-0.02976190476190476
490000,1.3855392,-0.0014204545454545455,49.58522727272727,0.0058888923,-0.0014204545454545455
500000,1.384328,0.0847457627118644,86.85593220338983,0.00017692143,0.0847457627118644
510000,1.3837686,0.05405405405405406,69.60135135135135,0.020390537,0.05405405405405406
520000,1.3840244,0.01694915254237288,70.89830508474576,0.038566146,0.01282051282051282
530000,1.3842452,0.080078125,82.1015625,0.029304221,0.08333333333333333
540000,1.3837888,0.1864406779661017,78.00847457627118,0.025593564,0.1864406779661017
550000,1.382792,0.14038461538461539,78.57692307692308,0.027278816,0.14728682170542637
560000,1.3821611,0.046875,72.2,0.020235943,0.04245283018867924
570000,1.3821471,0.10166666666666667,59.99333333333333,0.018377684,0.10032894736842106
580000,1.3824062,0.08274647887323944,69.93661971830986,0.012228776,0.08274647887323944
590000,1.3820772,0.07954545454545454,54.01704545454545,0.01486842,0.08714285714285715
600000,1.3816077,0.1196808510638298,76.40425531914893,0.028562507,0.10526315789473684
610000,1.3809534,0.18571428571428572,90.04285714285714,0.04607456,0.18571428571428572
620000,1.3794333,0.08664772727272728,57.07954545454545,0.048603725,0.0617816091954023
630000,1.3786027,0.21428571428571427,74.32539682539682,0.053929716,0.24609375
640000,1.377563,0.07876712328767123,53.35616438356164,0.08029321,0.07876712328767123
650000,1.377005,0.23469387755102042,100.8265306122449,0.08878448,0.23469387755102042
660000,1.375774,0.21082089552238806,82.09701492537313,0.116792694,0.21082089552238806
670000,1.3744506,0.3125,120.44444444444444,0.11616874,0.3125
680000,1.3729925,0.30833333333333335,90.81666666666666,0.105541445,0.30833333333333335
690000,1.3723483,0.15254237288135594,66.34745762711864,0.12074026,0.15254237288135594
700000,1.3711363,0.27122641509433965,116.9622641509434,0.10414069,0.27122641509433965
710000,1.3711408,0.1292372881355932,82.27966101694915,0.10554996,0.1292372881355932
720000,1.3711185,0.1175,90.15,0.10117679,0.1175
730000,1.3691459,0.2717391304347826,76.5,0.096622445,0.2717391304347826
740000,1.3675909,0.09583333333333334,56.30833333333333,0.09610295,0.1038135593220339
750000,1.367698,0.23565573770491804,94.41803278688525,0.10350767,0.23565573770491804
760000,1.3675886,0.2003968253968254,89.23015873015873,0.09491727,0.19140625
770000,1.3672715,0.2935606060606061,68.43939393939394,0.091676354,0.2786259541984733
780000,1.3672601,0.14166666666666666,68.79333333333334,0.0967728,0.15562913907284767
790000,1.3674442,0.19387755102040816,80.16326530612245,0.10797539,0.18298969072164947
800000,1.3670183,0.161231884057971,84.57971014492753,0.099215955,0.17153284671532848
810000,1.3663908,0.16203703703703703,86.85185185185185,0.099110484,0.1590909090909091
820000,1.3654597,0.20081967213114754,78.93442622950819,0.08390194,0.20081967213114754
830000,1.3647801,0.28273809523809523,100.9047619047619,0.086172946,0.28273809523809523
840000,1.364115,0.12740384615384615,100.0673076923077,0.08656974,0.12740384615384615
850000,1.363469,0.21010638297872342,94.67021276595744,0.10370055,0.21010638297872342
860000,1.3629614,0.2916666666666667,126.37179487179488,0.106968,0.30194805194805197
870000,1.362339,0.25201612903225806,93.54032258064517,0.11518213,0.25609756097560976
880000,1.361644,0.19107142857142856,67.62142857142857,0.10827249,0.18309859154929578
890000,1.3610963,0.051829268292682924,87.39024390243902,0.10251878,0.051829268292682924
900000,1.3601017,0.5068493150684932,90.6027397260274,0.101550974,0.5068493150684932
910000,1.3589132,0.27291666666666664,77.225,0.13871408,0.27291666666666664
920000,1.3583616,0.046052631578947366,76.67543859649123,0.1173661,0.046052631578947366
930000,1.3580406,0.25833333333333336,88.875,0.08780683,0.25833333333333336
940000,1.3579999,0.24798387096774194,73.73387096774194,0.10278334,0.24798387096774194
950000,1.3581,0.20758928571428573,93.97321428571429,0.12203934,0.20758928571428573
960000,1.3573927,0.5861111111111111,98.07777777777778,0.12895425,0.5861111111111111
970000,1.3567201,0.2076923076923077,82.14615384615385,0.12845741,0.2076923076923077
980000,1.3570096,0.20384615384615384,69.86153846153846,0.13962784,0.20384615384615384
990000,1.3567208,0.21226415094339623,88.86792452830188,0.14401379,0.21226415094339623
1000000,1.3562876,0.23,89.31,0.13082251,0.23
1010000,1.3561066,0.26590909090909093,105.48181818181818,0.095363036,0.26590909090909093
1020000,1.3558644,0.19444444444444445,68.1984126984127,0.09436595,0.19444444444444445
1030000,1.3557072,0.13771186440677965,99.92372881355932,0.08938784,0.1282051282051282
1040000,1.3545887,0.3269230769230769,94.88461538461539,0.081505544,0.33737864077669905
1050000,1.3541552,0.21607142857142858,62.957142857142856,0.07443741,0.21654929577464788
1060000,1.353283,0.335,91.03,0.07909451,0.335
1070000,1.3531849,0.5049019607843137,94.50980392156863,0.117920294,0.5049019607843137
1080000,1.3534447,0.21455223880597016,83.01492537313433,0.095629916,0.21455223880597016
1090000,1.3533369,0.19166666666666668,78.725,0.09901763,0.19166666666666668
1100000,1.3532197,0.09375,68.08653846153847,0.1031151,0.09375
1110000,1.352617,0.19107142857142856,85.12142857142857,0.091312245,0.19107142857142856
1120000,1.3518811,0.1721311475409836,80.5,0.08440956,0.1721311475409836
1130000,1.3518059,0.11775362318840579,75.6086956521739,0.07228127,0.11775362318840579
1140000,1.3516625,0.32142857142857145,80.75510204081633,0.082974195,0.32142857142857145
1150000,1.3510587,0.15625,126.8,0.08195251,0.15625
1160000,1.3502691,0.2692307692307692,114.04807692307692,0.09009788,0.27450980392156865
1170000,1.3494467,0.06991525423728813,63.23728813559322,0.080118865,0.06875
1180000,1.3492019,0.2523148148148148,89.99074074074075,0.08309761,0.24764150943396226
1190000,1.348992,0.14015151515151514,80.11363636363636,0.07775404,0.1455223880597015
1200000,1.3486089,0.22954545454545455,84.68181818181819,0.068044536,0.22954545454545455
1210000,1.3480406,0.2653061224489796,104.73469387755102,0.07269268,0.25257731958762886
1220000,1.3473175,0.28728070175438597,96.40350877192982,0.07894657,0.29782608695652174
1230000,1.34667,0.3012295081967213,70.0,0.093875065,0.3012295081967213
1240000,1.3459347,0.162109375,75.4140625,0.0946482,0.162109375
1250000,1.3447981,0.23903508771929824,85.14035087719299,0.094256714,0.23903508771929824
1260000,1.3434829,0.49074074074074076,87.9074074074074,0.10929364,0.49074074074074076
1270000,1.3425107,0.2604166666666667,96.3,0.11969491,0.2604166666666667
1280000,1.3421351,0.34791666666666665,73.35833333333333,0.15327887,0.34791666666666665
1290000,1.3419938,0.38221153846153844,94.32692307692308,0.15249708,0.38221153846153844
1300000,1.3417382,0.23295454545454544,73.51515151515152,0.14496669,0.2326923076923077
1310000,1.3414875,0.3494318181818182,99.56818181818181,0.1523924,0.3472222222222222
1320000,1.3411433,0.2627551020408163,112.21428571428571,0.15445118,0.2627551020408163
1330000,1.3410869,0.37202380952380953,75.45238095238095,0.16528967,0.37202380952380953
1340000,1.340988,0.3125,146.89473684210526,0.14226343,0.3125
1350000,1.3413036,0.39858490566037735,106.94339622641509,0.15606987,0.39858490566037735
1360000,1.3413212,0.16363636363636364,88.9090909090909,0.15711004,0.16363636363636364
1370000,1.3417308,0.24094202898550723,77.44927536231884,0.14224645,0.24094202898550723
1380000,1.3414525,0.19384057971014493,68.1231884057971,0.12935455,0.19708029197080293
1390000,1.341498,0.2700892857142857,87.625,0.11993219,0.26548672566371684
1400000,1.341687,0.10869565217391304,94.8804347826087,0.12896712,0.10869565217391304
1410000,1.3411071,0.3088235294117647,93.08823529411765,0.13833857,0.3088235294117647
1420000,1.3404831,0.1421875,69.2625,0.111824885,0.13522012578616352
1430000,1.3400078,0.3038194444444444,73.77083333333333,0.10103889,0.3090277777777778
1440000,1.3395922,0.10054347826086957,66.5,0.104708105,0.10483870967741936
1450000,1.339104,0.4007352941176471,147.13235294117646,0.13815695,0.4007352941176471
